City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
394,Katobu,-4.94,122.53,80.8,86,74,3.56,ID,2020-02-24 23:03:34,broken clouds,0.0,0.0
395,Kavaratti,10.57,72.64,81.1,68,11,2.68,IN,2020-02-24 23:03:34,few clouds,0.0,0.0
396,Bourail,-21.57,165.48,82.67,54,100,5.21,NC,2020-02-24 23:03:34,overcast clouds,0.0,0.0
397,Nemuro,43.32,145.57,22.68,71,0,9.84,JP,2020-02-24 23:02:36,clear sky,0.0,0.0
398,Karratha,-20.74,116.85,86.47,63,80,10.49,AU,2020-02-24 23:03:35,broken clouds,0.0,0.0
399,Nouadhibou,20.93,-17.03,71.6,68,78,12.75,MR,2020-02-24 23:03:35,sand,0.0,0.0
400,Rivadavia,-34.84,-58.37,82.4,50,23,6.93,AR,2020-02-24 22:59:44,few clouds,0.0,0.0
401,Thompson,55.74,-97.86,6.8,55,20,9.17,CA,2020-02-24 23:03:03,few clouds,0.0,0.0
402,Yuci,37.68,112.73,24.8,100,90,2.24,CN,2020-02-24 23:03:36,fog,0.0,0.0
403,Svetlyy,54.67,20.13,33.8,82,40,4.47,RU,2020-02-24 23:03:36,scattered clouds,0.0,0.0
404,Skegness,53.14,0.34,44.6,81,17,19.46,GB,2020-02-24 23:03:36,few clouds,0.0,0.0
405,Superior,46.72,-92.1,41.0,38,1,3.36,US,2020-02-24 23:02:06,clear sky,0.0,0.0
406,Geraldton,-28.77,114.6,69.8,94,75,3.36,AU,2020-02-24 23:03:37,broken clouds,0.0,0.0
407,Meulaboh,4.14,96.13,81.88,76,80,5.44,ID,2020-02-24 23:03:37,light rain,0.19,0.0
408,Yar-Sale,66.83,70.83,22.96,93,100,24.18,RU,2020-02-24 23:03:37,light snow,0.0,0.81
409,Junction City,39.03,-96.83,51.01,57,90,12.75,US,2020-02-24 22:58:45,overcast clouds,0.0,0.0
410,Santa Marta,11.24,-74.2,91.4,49,20,9.17,CO,2020-02-24 23:00:08,few clouds,0.0,0.0
411,Waingapu,-9.66,120.26,83.5,79,25,11.48,ID,2020-02-24 22:59:15,scattered clouds,0.0,0.0
412,Warrington,53.39,-2.58,44.6,75,40,21.92,GB,2020-02-24 23:03:38,light intensity shower rain,0.0,0.0
413,Mount Isa,-20.73,139.5,78.8,94,75,11.41,AU,2020-02-24 23:02:22,broken clouds,0.0,0.0
414,Ozinki,51.18,49.68,34.16,98,100,14.12,RU,2020-02-24 23:03:39,light rain,0.63,0.0
415,Broken Hill,-31.95,141.43,77.0,53,0,10.29,AU,2020-02-24 23:03:39,clear sky,0.0,0.0
416,Polyarnyy,69.2,33.45,28.4,100,75,6.71,RU,2020-02-24 23:03:39,light shower snow,0.0,0.0
417,Chulman,56.85,124.91,12.38,92,100,9.01,RU,2020-02-24 23:03:40,light snow,0.0,0.31
418,Quang Ngai,15.12,108.8,68.5,82,53,8.9,VN,2020-02-24 23:02:57,broken clouds,0.0,0.0
419,Vanimo,-2.67,141.3,82.53,78,74,6.08,PG,2020-02-24 23:03:40,light rain,0.88,0.0
420,Houma,29.6,-90.72,73.99,88,90,11.41,US,2020-02-24 22:59:44,overcast clouds,0.0,0.0
421,Fairbanks,64.84,-147.72,3.0,83,1,1.32,US,2020-02-24 22:59:00,clear sky,0.0,0.0
422,Kiruna,67.86,20.23,10.4,72,17,5.82,SE,2020-02-24 23:03:41,few clouds,0.0,0.0
423,Grand River South East,-20.29,57.78,75.99,88,20,3.36,MU,2020-02-24 23:03:41,few clouds,0.0,0.0
424,Prince George,38.83,-76.85,55.99,32,90,3.36,US,2020-02-24 22:58:47,overcast clouds,0.0,0.0
425,Miura,35.14,139.62,52.0,66,90,12.37,JP,2020-02-24 23:03:41,overcast clouds,0.0,0.0
426,San Quintin,49.85,3.28,52.0,93,90,20.8,FR,2020-02-24 23:03:41,overcast clouds,0.0,0.0
427,Tautira,-17.73,-149.15,87.8,66,20,12.75,PF,2020-02-24 23:03:42,few clouds,0.0,0.0
428,Jawad,24.6,74.85,60.55,44,0,4.45,IN,2020-02-24 23:03:42,clear sky,0.0,0.0
429,Maebaru,33.55,130.2,55.4,35,100,14.99,JP,2020-02-24 23:03:42,overcast clouds,0.0,0.0
430,Along,28.17,94.77,49.33,91,32,5.26,IN,2020-02-24 23:03:42,light rain,0.44,0.0
431,Acapulco,16.86,-99.89,84.2,70,40,8.05,MX,2020-02-24 23:00:20,scattered clouds,0.0,0.0
432,Kirakira,-10.45,161.92,84.65,68,7,3.96,SB,2020-02-24 23:03:43,clear sky,0.0,0.0
433,San Carlos De Bariloche,-41.15,-71.31,57.2,50,40,26.4,AR,2020-02-24 23:03:43,scattered clouds,0.0,0.0
434,Ust-Kulom,61.69,53.69,29.26,95,100,9.64,RU,2020-02-24 23:03:44,light snow,0.0,0.38
435,Fuerte Olimpo,-21.04,-57.87,79.77,70,16,4.56,PY,2020-02-24 23:03:44,few clouds,0.0,0.0
436,Marabba,12.35,32.18,67.89,20,17,14.2,SD,2020-02-24 23:03:44,few clouds,0.0,0.0
437,Kamenskoye,48.51,34.6,35.6,80,75,17.9,UA,2020-02-24 23:03:44,broken clouds,0.0,0.0
438,Tarudant,30.47,-8.88,69.8,35,75,17.22,MA,2020-02-24 23:03:45,broken clouds,0.0,0.0
439,Pleasant Grove,40.36,-111.74,41.0,48,40,10.29,US,2020-02-24 23:03:45,scattered clouds,0.0,0.0
440,Aripuana,-9.17,-60.63,75.34,95,94,1.1,BR,2020-02-24 23:03:45,light rain,2.12,0.0
441,At-Bashi,41.17,75.81,4.19,68,99,2.89,KG,2020-02-24 23:03:45,overcast clouds,0.0,0.0
442,Northam,33.87,-118.0,78.01,33,1,9.17,US,2020-02-24 23:01:41,clear sky,0.0,0.0
443,Moroni,-34.65,-58.62,82.4,50,0,6.93,AR,2020-02-24 23:03:46,clear sky,0.0,0.0
444,Hit,33.64,42.83,62.2,53,100,13.51,IQ,2020-02-24 23:03:46,overcast clouds,0.0,0.0
445,Coyutla,20.25,-97.65,87.8,70,5,5.82,MX,2020-02-24 23:03:46,clear sky,0.0,0.0
446,Quzhou,28.96,118.87,61.63,82,63,0.92,CN,2020-02-24 23:03:46,broken clouds,0.0,0.0
