City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
398,Karratha,AU,86.47,broken clouds,-20.74,116.85,ibis Styles Karratha
399,Nouadhibou,MR,71.6,sand,20.93,-17.03,El Medina
400,Rivadavia,AR,82.4,few clouds,-34.84,-58.37,Quinta Selva Madre
407,Meulaboh,ID,81.88,light rain,4.14,96.13,Kost Pria
411,Waingapu,ID,83.5,scattered clouds,-9.66,120.26,Pondok Wisata Elim
413,Mount Isa,AU,78.8,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
415,Broken Hill,AU,77.0,clear sky,-31.95,141.43,Daydream Motel & Cottages
419,Vanimo,PG,82.53,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
420,Houma,US,73.99,overcast clouds,29.6,-90.72,Courtyard by Marriott Houma
423,Grand River South East,MU,75.99,few clouds,-20.29,57.78,Laguna Beach Hotel & Spa
427,Tautira,PF,87.8,few clouds,-17.73,-149.15,Pension Oaoa
431,Acapulco,MX,84.2,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
432,Kirakira,SB,84.65,clear sky,-10.45,161.92,SanBiz Lodge
435,Fuerte Olimpo,PY,79.77,few clouds,-21.04,-57.87,Hotel Fuerte Olimpo
440,Aripuana,BR,75.34,light rain,-9.17,-60.63,
442,Northam,US,78.01,clear sky,33.87,-118.0,Holiday Inn Buena Park-Near Knott's
443,Moroni,AR,82.4,clear sky,-34.65,-58.62,Hotel Morón
445,Coyutla,MX,87.8,clear sky,20.25,-97.65,Hotel Retorno
448,Sikasso,ML,80.28,overcast clouds,10.92,-7.0,
449,Ende,ID,82.65,scattered clouds,-8.84,121.66,Dwi Putra Hotel - Ende
451,Ugoofaaru,MV,82.31,few clouds,5.67,73.0,Ungoofaaru Inn
453,Reo,BF,78.31,overcast clouds,12.32,-2.47,Hôtel Deogratias
456,Alice Springs,AU,80.6,overcast clouds,-23.7,133.88,Desert Palms Alice Springs
460,Riyadh,SA,73.4,broken clouds,24.69,46.72,InterContinental Riyadh
463,Burica,PA,86.0,scattered clouds,8.03,-82.87,Burica Surf
464,Parkes,AU,81.0,scattered clouds,-33.13,148.18,Station Motel
469,Belmonte,BR,77.59,light rain,-7.86,-38.76,Pousada Pedra do Reino
471,Sibolga,ID,71.89,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
472,Isangel,VU,82.4,scattered clouds,-19.55,169.27,Volcano Sea View Tree House
473,Mandurah,AU,73.99,broken clouds,-32.55,115.7,Atrium Hotel Mandurah
475,Paso De Patria,AR,84.2,clear sky,-27.25,-58.55,"Posada Pasito's III, Paso de Patria Ñeembucú"
481,Port Hedland,AU,82.4,scattered clouds,-20.32,118.57,The Esplanade Hotel
483,Pozo Colorado,PY,82.06,scattered clouds,-23.49,-58.8,Hospedaje la Amistad
485,General Roca,AR,77.0,clear sky,-39.03,-67.58,Hotel El Recreo
488,Safwah,SA,71.6,overcast clouds,26.65,49.95,Um Alhindiban Resort
493,Rosarito,MX,73.4,few clouds,32.33,-117.03,Festival Plaza
494,Adrar,MR,73.18,overcast clouds,20.5,-10.07,
495,Toliary,MG,78.21,overcast clouds,-23.35,43.67,Hotel Spa Victory Tulear Madagascar
496,Shar,OM,73.4,broken clouds,24.36,56.75,Savoy Hotel Apartment
500,Dingle,PH,75.88,light rain,11.0,122.67,Camp Pasica
503,Mbuji-Mayi,CD,71.35,overcast clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
505,Antonina,BR,71.6,scattered clouds,-25.43,-48.71,Hotel Capelista
507,San Patricio,US,77.0,clear sky,28.02,-97.52,Motel 6 Sinton
509,Ruteng,ID,76.86,clear sky,-8.61,120.47,Hotel FX72 Ruteng
511,Mollendo,PE,70.14,broken clouds,-17.02,-72.01,Hostal La Casa de Melgar
514,Progreso,HN,82.99,clear sky,15.4,-87.8,Hotel La Arboleda
519,Hobyo,SO,78.24,overcast clouds,5.35,48.53,
520,Dunedin,NZ,71.01,overcast clouds,-45.87,170.5,Scenic Hotel Southern Cross
524,Le Port,RE,78.8,scattered clouds,-20.94,55.29,Villa Maido
525,Cosala,MX,73.99,overcast clouds,24.41,-106.69,Hotel Real del Conde
527,Miragoane,HT,78.58,light rain,18.44,-73.09,Robsi Hotel
528,Tarauaca,BR,77.76,broken clouds,-8.16,-70.77,Flat Temporada
530,Matamoros,MX,86.0,broken clouds,25.88,-97.5,Hotel Alameda Express
535,Jujuy,AR,77.0,few clouds,-24.19,-65.3,Hotel Altos de la Viña
544,Moyo,UG,78.37,broken clouds,3.66,31.72,"Multi Purpose Training Center, Moyo"
550,Sao Filipe,BR,75.9,light rain,-6.66,-69.87,Pousada Novo Acre
551,West Bay,KY,82.4,few clouds,19.37,-81.42,Calypso Cove
553,Mormugao,IN,77.0,mist,15.4,73.8,Coconut Creek Resort
554,Axim,GH,79.02,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
562,Kiama,AU,77.0,clear sky,-34.68,150.87,The Sebel Kiama Harbourside
563,Ambulu,ID,80.53,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
565,Maldonado,UY,82.4,clear sky,-34.67,-54.92,La Cimarrona
568,Morgan City,US,73.0,overcast clouds,29.7,-91.21,Hampton Inn & Suites Morgan City
569,Nata,PA,87.8,clear sky,8.33,-80.52,Cabañas Estancia Bayamon
571,Yenagoa,NG,79.45,clear sky,4.92,6.26,Amba Hotels Limited
572,Los Amates,GT,77.0,clear sky,15.27,-89.1,Las Basas
573,Dhidhdhoo,MV,81.84,light rain,6.88,73.1,Dhidhoo beach
575,Sao Felix Do Xingu,BR,74.21,moderate rain,-6.64,-51.99,Apart Hotel Rio Xingu
578,Kunnamangalam,IN,77.0,haze,11.3,75.88,Hotel Monad
581,Boende,CD,73.27,overcast clouds,-0.22,20.87,
583,Atar,MR,77.88,broken clouds,20.52,-13.05,Oumou Elghoura
584,Angoche,MZ,74.91,overcast clouds,-16.23,39.91,Guest House HESADA
586,Gainesville,US,75.2,clear sky,29.65,-82.32,Wyndham Garden Gainesville
587,Luis Correia,BR,76.48,light rain,-2.88,-41.67,Hotel Amarração
590,Sorong,ID,82.8,overcast clouds,-0.88,131.25,The Waigo Hotel
591,Buritis,BR,72.3,light rain,-15.62,-46.42,Hotel Rainha do Vale
593,Cockburn Town,TC,74.79,light rain,21.46,-71.14,Osprey Beach Hotel
594,Sao Francisco De Paula,BR,80.6,few clouds,-31.77,-52.34,Hotéis Jacques Georges Tower
596,Nioro,SN,89.6,overcast clouds,13.75,-15.8,BSN
605,Sambava,MG,74.75,overcast clouds,-14.27,50.17,Melrose
606,Salta,AR,77.0,broken clouds,-24.79,-65.41,Hotel Alejandro I
607,Kendari,ID,80.35,light rain,-3.94,122.5,Hotel Wixel
